equity_original,equity_nn
11606.434524657645,10158.119601502778
11584.549188526675,10158.119601502778
11618.872912079583,10158.119601502778
11591.94671744028,10158.119601502778
11565.252388266284,10158.119601502778
11539.447637292216,10158.119601502778
11572.042437529974,10158.119601502778
11546.892020076568,10158.119601502778
11522.372352307335,10158.119601502778
11498.62122107519,10158.119601502778
11475.606582475697,10158.119601502778
11452.624434802954,10158.119601502778
11429.318160401479,10158.119601502778
11402.636636626894,10158.119601502778
11374.649524148708,10158.119601502778
11346.044359436823,10158.119601502778
11312.510992204358,10158.119601502778
11277.967145622424,10158.119601502778
11246.570618273578,10158.119601502778
11285.59874432581,10158.119601502778
11324.62486137431,10158.119601502778
11362.663412584525,10158.119601502778
11399.984924422582,10158.119601502778
11437.883464153903,10158.119601502778
11476.389244071826,10158.119601502778
11514.673175591593,10158.119601502778
11551.522554525129,10158.119601502778
11588.025549249125,10158.119601502778
11624.0497446848,10158.119601502778
11661.029347756767,10158.119601502778
11698.696129013324,10158.119601502778
11738.715290012717,10158.119601502778
11779.233082369296,10158.119601502778
11819.871046365583,10158.119601502778
11869.716360084558,10158.119601502778
11917.501294252179,10205.9045356704
11962.944447407826,10251.347688826047
12008.67022550548,10297.0734669237
12053.08704735509,10341.49028877331
12095.888402856064,10384.291644274284
12137.218246915007,10425.621488333227
12176.895973206345,10465.299214624565
12215.696677195623,10504.099918613843
12253.211637540579,10504.099918613843
12289.946964836341,10540.835245909606
12326.686897660084,10577.575178733348
12362.831079143738,10613.719360217003
12398.679247664275,10649.56752873754
12433.924003477987,10649.56752873754
12468.95129068447,10649.56752873754
12442.832958947676,10649.56752873754
12416.648804924225,10649.56752873754
12390.71206815245,10649.56752873754
12365.19938400723,10649.56752873754
12407.439981276313,10649.56752873754
12373.684131340708,10649.56752873754
12415.907857828463,10649.56752873754
12382.324529312558,10649.56752873754
12349.61997649422,10649.56752873754
12315.422891734333,10649.56752873754
12359.601636879737,10649.56752873754
12403.196185943327,10649.56752873754
12446.105410073802,10649.56752873754
12489.89256071728,10649.56752873754
12532.837772029081,10649.56752873754
12571.459495370069,10649.56752873754
12609.493980659916,10649.56752873754
12646.811717000488,10649.56752873754
12683.706716035484,10649.56752873754
12654.470431038058,10649.56752873754
12625.528199879735,10649.56752873754
12597.419007554148,10649.56752873754
12637.131476882952,10649.56752873754
12676.45021235345,10649.56752873754
12714.503295959983,10649.56752873754
12753.76687359462,10649.56752873754
12792.468795014285,10649.56752873754
12831.292035662902,10649.56752873754
12870.999344501795,10649.56752873754
12909.91331599059,10649.56752873754
12948.619146658757,10649.56752873754
12920.923901767594,10649.56752873754
12893.664031511513,10649.56752873754
12866.922723416581,10649.56752873754
12902.476041406233,10649.56752873754
12938.875578869838,10649.56752873754
12974.360835755686,10649.56752873754
13008.297131770223,10649.56752873754
13042.59512092658,10649.56752873754
13076.22896800034,10649.56752873754
13108.67468314026,10649.56752873754
13142.359976105006,10649.56752873754
13177.1820059562,10649.56752873754
13212.688134679629,10649.56752873754
13248.029553873706,10649.56752873754
13285.48944312535,10649.56752873754
13323.173667854555,10649.56752873754
13278.437502541034,10649.56752873754
13234.37105216062,10649.56752873754
13189.235073682381,10649.56752873754
13144.625939649015,10649.56752873754
13096.832146305194,10649.56752873754
13153.907866650256,10649.56752873754
13214.192464113527,10649.56752873754
13275.570990999064,10649.56752873754
13341.393880919562,10649.56752873754
13285.491185014334,10649.56752873754
13230.210110245194,10649.56752873754
13173.460551977421,10649.56752873754
13115.621676443061,10649.56752873754
13189.033776083277,10649.56752873754
13259.702154320621,10649.56752873754
13326.494247728511,10649.56752873754
13392.572606227803,10649.56752873754
13457.502510548573,10649.56752873754
13521.694536658932,10649.56752873754
13583.358616707836,10649.56752873754
13642.632419275567,10649.56752873754
13699.958093088462,10649.56752873754
13757.41759153972,10649.56752873754
13708.207667243785,10600.357604441604
13769.24060113639,10661.390538334208
13718.998948459026,10611.148885656845
13669.648887044332,10611.148885656845
13622.818082248545,10611.148885656845
13577.675192081027,10566.005995489328
13535.199735961478,10566.005995489328
13494.203999921896,10566.005995489328
13454.947970474426,10566.005995489328
13415.284503398205,10566.005995489328
13375.414129952427,10566.005995489328
13428.735140983239,10566.005995489328
13486.61888113685,10566.005995489328
13543.72521127949,10566.005995489328
13599.181089269085,10566.005995489328
13654.661533451386,10566.005995489328
13713.850475482273,10566.005995489328
13777.354465180597,10566.005995489328
13851.965312757611,10566.005995489328
13925.946869882697,10566.005995489328
14001.029772257776,10566.005995489328
14074.8353384141,10566.005995489328
14013.917397004047,10566.005995489328
13953.065022837569,10566.005995489328
13893.576378522268,10566.005995489328
13835.982682015203,10566.005995489328
13778.617106687214,10566.005995489328
13722.229038971938,10566.005995489328
13661.24011895061,10566.005995489328
13600.01327022545,10566.005995489328
13535.02260265923,10566.005995489328
13471.062713803096,10566.005995489328
13408.094239999187,10566.005995489328
13343.657805618772,10566.005995489328
13275.99540226553,10566.005995489328
13209.31460473216,10566.005995489328
13142.642424433318,10566.005995489328
13077.429696745106,10566.005995489328
13143.828285706664,10566.005995489328
13091.840784799506,10566.005995489328
13154.1119912096,10566.005995489328
13104.87051242996,10566.005995489328
13055.912018741721,10566.005995489328
13116.667413201283,10566.005995489328
13068.746274192037,10566.005995489328
13022.613754487023,10566.005995489328
12976.919271903796,10566.005995489328
12932.9001206658,10566.005995489328
12888.516656569802,10566.005995489328
12844.286308212804,10566.005995489328
12800.826710184878,10566.005995489328
12758.654237462517,10566.005995489328
12716.808369934612,10566.005995489328
12676.20294383727,10566.005995489328
12640.133422230116,10566.005995489328
12604.903185648473,10566.005995489328
